V1;V2;V3;V4;V5;V6;V7
267;12054_7#76;T126N9_C4;ST239;ERS254882;99.21;current;T126_N09_C05
268;12054_7#77;T126N9_C5;ST239;ERS254883;98.4;current;T126_N09_C06
269;12054_7#78;T126N9_C6;ST239;ERS254884;106.44;current;T126_N09_C07
270;12054_7#79;T126N9_C7;ST239;ERS254885;102.99;current;T126_N09_C08
271;12054_7#80;T126N9_C8;ST239;ERS254886;116.16;current;T126_N09_C09
272;12378_8#63;T126W4;ST239;ERS255343;104.82;current;T126_W04_C01
273;12378_8#3;T12A11;ST239;ERS255283;134.96;current;T012_A11_C01
274;12378_8#4;T12A14;ST239;ERS255284;121.28;current;T012_A14_C01
275;12378_8#5;T12A17;ST239;ERS255285;131.56;current;T012_A17_C01
276;12378_8#6;T12A18;ST239;ERS255286;132.36;current;T012_A18_C01
277;12378_8#7;T12A24;ST239;ERS255287;141;current;T012_A24_C01
278;12378_8#8;T12A28;ST239;ERS255288;154.3;current;T012_A28_C01
279;12378_8#2;T12A7;ST239;ERS255282;134;current;T012_A07_C01
280;4925_8#7;T12N1;NA;ERS007999;119.9;Tong;T012_N01_C01
281;12162_7#27;T12N1_C1;ST239;ERS255214;120.76;current;T012_N01_C02
282;12162_7#28;T12N1_C2;ST239;ERS255215;123.04;current;T012_N01_C03
283;12162_7#29;T12N1_C3;ST239;ERS255216;122.44;current;T012_N01_C04
284;12162_7#30;T12N1_C4;ST239;ERS255217;118.64;current;T012_N01_C05
285;12162_7#31;T12N1_C5;ST239;ERS255218;121.16;current;T012_N01_C06
286;12162_7#32;T12N1_C6;ST239;ERS255219;113.64;current;T012_N01_C07
287;12162_7#33;T12N1_C7;ST239;ERS255220;118.2;current;T012_N01_C08
288;12162_7#34;T12N1_C8;ST239;ERS255221;107.88;current;T012_N01_C09
289;11076_2#55;T12N10_C8;ST239;ERS317516;194.11;current;T012_N10_C01
290;12162_7#83;T12N10_C1;ST239;ERS255270;101.04;current;T012_N10_C02
291;12162_7#84;T12N10_C2;ST239;ERS255271;103.71;current;T012_N10_C03
292;12162_7#85;T12N10_C3;ST239;ERS255272;100.29;current;T012_N10_C04
293;12162_7#86;T12N10_C4;ST239;ERS255273;106.2;current;T012_N10_C05
294;12162_7#87;T12N10_C5;ST239;ERS255274;99.27;current;T012_N10_C06
295;12162_7#88;T12N10_C6;ST239;ERS255275;101.85;current;T012_N10_C07
296;12162_7#89;T12N10_C7;ST239;ERS255276;92.01;current;T012_N10_C08
297;12162_6#1;T12N11_C1;ST239;ERS254619;93.99;current;T012_N11_C01
298;12162_6#2;T12N11_C2;ST239;ERS254620;89.07;current;T012_N11_C02
299;12162_6#3;T12N11_C4;ST239;ERS254621;87.03;current;T012_N11_C03
300;12162_6#4;T12N11_C3;ST239;ERS254622;87;current;T012_N11_C04
301;12162_6#5;T12N11_C5;ST239;ERS254623;90.96;current;T012_N11_C05
302;12162_6#6;T12N11_C6;ST239;ERS254624;89.64;current;T012_N11_C06
303;12162_6#7;T12N11_C7;ST239;ERS254625;99.63;current;T012_N11_C07
304;12162_6#8;T12N11_C8;ST239;ERS254626;107.4;current;T012_N11_C08
305;12162_6#10;T12N12_C2;ST239;ERS254628;80.44;current;T012_N12_C01
306;12162_6#11;T12N12_C3;ST239;ERS254629;84.12;current;T012_N12_C02
307;12162_6#12;T12N12_C4;ST239;ERS254630;89.64;current;T012_N12_C03
308;12162_6#13;T12N12_C5;ST239;ERS254631;90.12;current;T012_N12_C04
309;12162_6#14;T12N12_C6;ST239;ERS254632;88.56;current;T012_N12_C05
310;12162_6#15;T12N12_C7;ST239;ERS254633;92.97;current;T012_N12_C06
311;12162_6#16;T12N12_C8;ST239;ERS254634;95.76;current;T012_N12_C07
312;12162_6#9;T12N12_C1;ST239;ERS254627;88.29;current;T012_N12_C08
313;12162_6#17;T12N13_C1;ST239;ERS254635;92.31;current;T012_N13_C01
314;12162_6#18;T12N13_C2;ST239;ERS254636;87.66;current;T012_N13_C02
315;12162_6#19;T12N13_C3;ST239;ERS254637;89.94;current;T012_N13_C03
316;12162_6#20;T12N13_C4;ST239;ERS254638;89.76;current;T012_N13_C04
317;12162_6#21;T12N13_C5;ST239;ERS254639;87.9;current;T012_N13_C05
318;12162_6#22;T12N13_C6;ST239;ERS254640;87.39;current;T012_N13_C06
319;12162_6#23;T12N13_C7;ST239;ERS254641;95.97;current;T012_N13_C07
320;12162_6#24;T12N13_C8;ST239;ERS254642;100.92;current;T012_N13_C08
321;12162_6#25;T12N14_C1;ST239;ERS254643;87.06;current;T012_N14_C01
322;12162_6#26;T12N14_C2;ST239;ERS254644;92.1;current;T012_N14_C02
323;12162_6#27;T12N14_C3;ST239;ERS254645;93.54;current;T012_N14_C03
324;12162_6#28;T12N14_C4;ST239;ERS254646;92.34;current;T012_N14_C04
325;12162_6#29;T12N14_C5;ST239;ERS254647;86.07;current;T012_N14_C05
326;12162_6#30;T12N14_C6;ST239;ERS254648;86.49;current;T012_N14_C06
327;12162_6#31;T12N14_C7;ST239;ERS254649;88.92;current;T012_N14_C07
328;12162_6#32;T12N15_C1;ST239;ERS254650;99.69;current;T012_N15_C01
329;12162_6#33;T12N15_C2;ST239;ERS254651;88.14;current;T012_N15_C02
330;12162_6#34;T12N15_C3;ST239;ERS254652;86.7;current;T012_N15_C03
331;12162_6#35;T12N15_C4;ST239;ERS254653;93.36;current;T012_N15_C04
