12162_8#3	T188_N02_C03
12162_8#4	T188_N02_C04
12162_8#5	T188_N02_C05
12162_8#6	T188_N02_C06
12378_8#92	T188_N02_C07
12378_8#93	T188_N02_C08
4950_3#7	T188_N03_C01
12162_8#10	T188_N03_C02
12162_8#11	T188_N03_C03
12162_8#12	T188_N03_C04
12162_8#13	T188_N03_C05
12162_8#14	T188_N03_C06
12162_8#7	T188_N03_C07
12162_8#8	T188_N03_C08
12162_8#9	T188_N03_C09
4950_3#6	T192_T03_C01
12378_8#83	T194_A01_C01
12378_8#87	T194_C01_C01
4950_3#5	T194_N01_C01
12162_8#15	T194_N01_C02
12162_8#16	T194_N01_C03
12162_8#17	T194_N01_C04
12162_8#18	T194_N01_C05
12162_8#19	T194_N01_C06
12162_8#20	T194_N01_C07
12162_8#21	T194_N01_C08
12162_8#22	T194_N01_C09
12162_8#23	T194_N03_C01
12162_8#24	T194_N03_C02
12162_8#25	T194_N03_C03
12162_8#26	T194_N03_C04
12162_8#27	T194_N03_C05
12162_8#28	T194_N03_C06
12162_8#29	T194_N03_C07
12162_8#30	T194_N03_C08
4950_3#4	T194_N04_C01
12162_8#31	T194_N04_C02
12162_8#32	T194_N04_C03
12162_8#33	T194_N04_C04
12162_8#34	T194_N04_C05
12162_8#35	T194_N04_C06
12162_8#36	T194_N04_C07
12162_8#37	T194_N04_C08
12162_8#38	T194_N04_C09
12378_8#84	T194_T01_C01
12378_8#85	T194_T02_C01
12378_8#86	T194_T03_C01
12378_8#88	T194_W02_C01
12378_8#89	T197_A01_C01
12378_8#90	T197_A02_C01
12378_8#91	T197_A03_C01
12083_8#78	T197_C01_C01
12083_8#65	T197_C02_C01
12083_8#64	T197_C03_C01
4950_3#3	T197_N01_C01
12162_8#39	T197_N01_C02
12162_8#40	T197_N01_C03
12162_8#41	T197_N01_C04
12162_8#42	T197_N01_C05
12162_8#43	T197_N01_C06
12162_8#44	T197_N01_C07
12162_8#45	T197_N01_C08
12162_8#46	T197_N01_C09
12162_8#47	T197_N02_C01
12162_8#48	T197_N02_C02
12162_8#49	T197_N02_C03
12162_8#50	T197_N02_C04
12162_8#51	T197_N02_C05
12162_8#52	T197_N02_C06
12162_8#53	T197_N02_C07
12162_8#54	T197_N02_C08
4950_3#2	T197_N03_C01
12162_8#55	T197_N03_C02
12162_8#56	T197_N03_C03
12162_8#57	T197_N03_C04
12162_8#58	T197_N03_C05
12162_8#59	T197_N03_C06
12162_8#60	T197_N03_C07
12162_8#61	T197_N03_C08
12162_8#62	T197_N03_C09
12083_8#63	T197_W01_C01
12083_8#62	T197_W02_C01
12083_8#61	T197_W03_C01
4925_8#4	T020_N01_C01
12083_6#33	T020_N01_C02
12083_6#34	T020_N01_C03
